scheme_id,scheme_name,state,category,eligibility,benefits,documents,apply_link,min_age,max_age,income_max,gender_allowed,rules_verified,rule_source
1,Pradhan Mantri Shram Yogi Maandhan Scheme,Central,Social Security,"Unorganised workers age 18–40 with monthly income ≤ ₹15,000","Pension of ₹3,000/month after 60","Aadhaar, bank, NPS details",https://pib.gov.in/PressReleasePage.aspx?PRID=2108082,18.0,40.0,180000.0,Any,1,"PIB: Age 18–40; monthly income ≤ ₹15,000 (stored as annual 180000)"
2,PM Kisan Samman Nidhi (PMKISAN),Central,Agriculture,Landholding farmers families,"Direct benefit transfer ₹6,000/year","Aadhaar, land papers, bank",https://www.myscheme.gov.in/schemes/pm-kisan,,,,Any,0,Eligibility depends on landholding list
3,Pradhan Mantri Awas Yojana - Urban,Central,Housing,EWS/LIG/MIG eligible families with income limits,Interest subsidy on housing loan,"Aadhaar, income proof, property docs",https://pmaymis.gov.in,,,600000.0,Any,0,Income limits vary by category; stored as placeholder
4,Pradhan Mantri Kaushal Vikas Yojana,Central,Skill Development,Age 18+,Skill training & certification,"Aadhaar, educational proof",https://www.pmkvyofficial.org,18.0,,,Any,1,Eligibility text: Age 18+
5,Stand Up India Scheme,Central,Entrepreneurship,SC/ST/Women entrepreneurs,Collateral-free loans,"Aadhaar, business plan",https://www.standupmitra.in,,,,Any,0,Group based eligibility
6,Ayushman Bharat - PMJAY,Central,Health,Families in SECC list,Health cover ₹5 lakh per family,"Aadhaar, SECC data",https://pmjay.gov.in,,,,Any,0,Socio-economic criteria
7,National Food Security Act,Central,Social Welfare,Eligible ration card holders,Subsidised food grains,"Ration card, Aadhaar",https://nfsa.gov.in,,,,Any,0,State/central criteria list
8,Swachh Bharat Mission,Central,Sanitation,All households,Sanitation infrastructure support,Address proof,https://swachhbharatmission.gov.in,,,,Any,0,Universal scheme
9,Pradhan Mantri Ujjwala Yojana,Central,Energy,BPL households,Free LPG connection,"Ration card, Aadhaar",https://www.pmuy.gov.in,,,,Any,0,BPL based; numeric rules not included
10,Beti Bachao Beti Padhao,Central,Women & Education,Girl child support,Awareness & support,Birth certificate,https://wcd.nic.in,,,,Female,0,Gender implied; no numeric age limits
11,Telangana Mahalakshmi Financial Assistance,Telangana,Social Welfare,Women heads of households with annual income ≤ 2 lakh,Financial support to women,"Aadhaar, income proof, address",https://cleartax.in/s/mahalakshmi-scheme-telangana,18.0,,200000.0,Female,1,Women + income ≤ 2 lakh
12,Telangana Economic Rehabilitation Scheme,Telangana,Social Welfare,"Age 21–55, annual income ≤1.5 lakh (rural) / ≤2 lakh (urban)",Financial assistance,"Aadhaar, income proof",https://wdsc.telangana.gov.in/EconomicRehabilitationScheem.html,21.0,55.0,200000.0,Any,1,Official Telangana guidelines
13,Kalyana Lakshmi - Shaadi Mubarak,Telangana,Social Welfare,"Bride age ≥ 18, annual income ≤ 2 lakh",Marriage support,"Aadhaar, wedding details",https://en.wikipedia.org/wiki/Kalyana_Lakshmi_-_Shaadi_Mubarak,18.0,,200000.0,Female,1,Age and income constraints
14,Telangana Rythu Bandhu,Telangana,Agriculture,Telangana farmers,Investment support,"Land papers, Aadhaar",https://rythubandhu.telangana.gov.in,,,,Any,0,Farmer status based
15,Telangana Free Cattle Distribution,Telangana,Agriculture,Eligible farmers,Free cattle distribution,Land records,https://telangana.gov.in,,,,Any,0,Specific rules not numeric
16,TS Residential Schools Scholarship,Telangana,Education,Students in residential schools,Scholarship support,School certificate,https://telangana.gov.in,,,,Any,0,Student based
17,Telangana Yuva Nestham,Telangana,Youth Welfare,Unemployed youth,Monthly support,ID proof,https://telangana.gov.in,,,,Any,0,Youth category only
18,Telangana Gruha Lakshmi,Telangana,Women Empowerment,Women heads of households,Financial support,"Aadhaar, ration card",https://telangana.gov.in,,,,Female,0,Gender specific; no numeric age
19,Telangana KCR Kit Scheme,Telangana,Health,Pregnant women,Maternal support kits,Pregnancy records,https://telangana.gov.in,,,,Female,0,Pregnant women
20,Telangana Pension Scheme,Telangana,Social Welfare,Senior citizens / disabled persons,Monthly pension,Disability certificate / age proof,https://telangana.gov.in,,,,Any,0,Senior citizen implied; numeric not defined
